"Observations","count","prop","win_start","win_end","win_days","region","regname"
"8",13,0.0134854771784232,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"9",15,0.0155601659751037,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"1",295,0.326688815060908,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"10",7,0.00775193798449612,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"11",3,0.00332225913621262,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"12",1,0.00110741971207087,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"2",215,0.238095238095238,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"3",155,0.171650055370986,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"4",98,0.108527131782946,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"5",60,0.0664451827242525,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"6",28,0.0310077519379845,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"7",20,0.0221483942414175,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"8",12,0.0132890365448505,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"9",9,0.00996677740863787,"2012-01-01","2017-01-01",1827,3,"Rest of North Island"
"1",305,0.367027677496992,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"10",3,0.0036101083032491,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"2",201,0.24187725631769,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"3",145,0.174488567990373,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"4",78,0.0938628158844765,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"5",43,0.0517448856799037,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"6",30,0.036101083032491,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"7",9,0.0108303249097473,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"8",14,0.0168471720818291,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"9",3,0.0036101083032491,"2013-01-01","2017-01-01",1461,3,"Rest of North Island"
"1",301,0.414030261348006,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"2",216,0.297111416781293,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"3",100,0.137551581843191,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"4",47,0.0646492434662999,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"5",33,0.0453920220082531,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"6",19,0.0261348005502063,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"7",8,0.0110041265474553,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"8",1,0.00137551581843191,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"9",2,0.00275103163686382,"2014-01-01","2017-01-01",1096,3,"Rest of North Island"
"1",355,0.580065359477124,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"2",146,0.238562091503268,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"3",57,0.0931372549019608,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"4",38,0.0620915032679739,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"5",11,0.0179738562091503,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"6",5,0.00816993464052288,"2015-01-01","2017-01-01",731,3,"Rest of North Island"
"1",304,0.76,"2016-01-01","2017-01-01",366,3,"Rest of North Island"
"2",64,0.16,"2016-01-01","2017-01-01",366,3,"Rest of North Island"
"3",30,0.075,"2016-01-01","2017-01-01",366,3,"Rest of North Island"
"4",2,0.005,"2016-01-01","2017-01-01",366,3,"Rest of North Island"
"1",360,0.240641711229947,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"10",35,0.0233957219251337,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"11",20,0.0133689839572193,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"12",28,0.018716577540107,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"13",21,0.0140374331550802,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"14",18,0.0120320855614973,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"15",13,0.00868983957219251,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"16",9,0.00601604278074866,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"17",5,0.00334224598930481,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"18",5,0.00334224598930481,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"19",5,0.00334224598930481,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"2",254,0.169786096256685,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"20",3,0.00200534759358289,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"21",4,0.00267379679144385,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"22",2,0.00133689839572193,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"23",2,0.00133689839572193,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"24",1,0.000668449197860963,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"26",2,0.00133689839572193,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"28",1,0.000668449197860963,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"3",199,0.133021390374332,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"4",155,0.103609625668449,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"5",95,0.0635026737967914,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"6",91,0.0608288770053476,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"7",63,0.0421122994652406,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
"8",60,0.0401069518716578,"2001-01-01","2018-01-01",6209,3,"Rest of North Island"
